NUM_NS,SOMA_BASE_CR,DATA
1182618887,14051.0,15/08/2025
1182661032,2968.0,15/08/2025
1182702068,12200.0,15/08/2025
1182755807,19307.0,15/08/2025
1182783880,3291.0,15/08/2025
1182812133,16615.0,15/08/2025
1182897241,22471.27,15/08/2025
1182925542,2185.23,15/08/2025
1182979940,20278.0,15/08/2025
1183104700,28751.0,15/08/2025
1183146248,22681.0,15/08/2025
1183242092,425.0,15/08/2025
1183370717,11883.0,15/08/2025
1183373378,15533.77,15/08/2025
1183386773,0.0,15/08/2025
1183387130,18680.0,15/08/2025
1183428039,5543.24,15/08/2025
1183526780,22122.0,15/08/2025
1183526780,358.0,15/08/2025
1183569490,26944.71,15/08/2025
1183587537,23248.96,15/08/2025
1183608333,15496.28,15/08/2025
1183704837,22497.0,15/08/2025
1183714261,33170.0,15/08/2025
1183773294,8819.57,15/08/2025
1183808299,26382.0,15/08/2025
1183826931,5261.27,15/08/2025
1183933980,31806.0,15/08/2025
1183981964,7199.79,15/08/2025
1183990296,18611.0,15/08/2025
1183991026,498.0,15/08/2025
1183991026,20249.0,15/08/2025
1184119417,13200.09,15/08/2025
1184308847,459.0,15/08/2025
1184308847,5532.62,15/08/2025
1184337501,5477.92,15/08/2025
1184337659,10929.53,15/08/2025
1184467745,8257.59,15/08/2025
1184469319,9027.0,15/08/2025
1184477040,5828.62,15/08/2025
1184483812,31966.46,15/08/2025
1184503991,63095.0,15/08/2025
1184561023,0.0,15/08/2025
1184596352,5762.75,15/08/2025
1184760581,23614.1,15/08/2025
1184882593,729.59,15/08/2025
1184894643,12106.929999999998,15/08/2025
1184969514,0.0,15/08/2025
1184986057,12068.02,15/08/2025
1185015942,2.31,15/08/2025
1185031076,31445.35,15/08/2025
1185031076,30.0,15/08/2025
1185078168,34373.46,15/08/2025
1185096053,2189.74,15/08/2025
1185110001,12185.77,15/08/2025
1185170457,58476.96,15/08/2025
1185253746,6411.68,15/08/2025
1185302306,12041.94,15/08/2025
1185348571,316853.0,15/08/2025
1185579315,27388.0,15/08/2025
1185781917,0.0,15/08/2025
1185838104,0.0,15/08/2025
1185970321,7255.68,15/08/2025
1186035951,0.0,15/08/2025
1186035951,247.0,15/08/2025
1186051087,21818.0,15/08/2025
1186182450,4444.98,15/08/2025
1186360203,15914.34,15/08/2025
1186463628,102662.0,15/08/2025
1186481109,22709.14,15/08/2025
1186644466,9785.32,15/08/2025
1186661649,6446.22,15/08/2025
1186810072,17216.48,15/08/2025
1186875493,11963.27,15/08/2025
1186911297,9582.79,15/08/2025
1187053570,99551.05,15/08/2025
1187098868,8938.0,15/08/2025
1187148024,19273.8,15/08/2025
1187150354,48787.0,15/08/2025
1187244577,14354.55,15/08/2025
1187258121,9135.37,15/08/2025
1187515022,23023.0,15/08/2025
1187590858,1047.1,15/08/2025
1187733030,0.0,15/08/2025
1187860897,19844.91,15/08/2025
1188114684,141604.0,15/08/2025
1188596891,534.0,15/08/2025
1188596891,553.0,15/08/2025
1188645049,34191.93,15/08/2025
1188793468,4150.35,15/08/2025
1188854277,356.0,15/08/2025
1188926226,198991.0,15/08/2025
1188977892,10023.6,15/08/2025
1189504447,14184.0,15/08/2025
1189648054,31954.28,15/08/2025
1189648991,13323.12,15/08/2025
1189887986,0.0,15/08/2025
1189889020,251.0,15/08/2025
1189889020,0.0,15/08/2025
1190047931,232828.08,15/08/2025
1190239836,0.0,15/08/2025
1190365977,15271.0,15/08/2025
1190449309,17412.94,15/08/2025
1190500656,0.0,15/08/2025
1190500657,97106.0,15/08/2025
1190514728,21960.0,15/08/2025
1190659533,13264.0,15/08/2025
1190888297,17998.0,15/08/2025
1191145181,537.14,15/08/2025
1191238436,1348.0,15/08/2025
1191240148,14958.42,15/08/2025
1191310855,10421.53,15/08/2025
1191416829,19306.0,15/08/2025
1191488383,84504.5,15/08/2025
1191503614,62387.0,15/08/2025
1191537997,16205.0,15/08/2025
1191589285,20411.94,15/08/2025
1191618396,9697.0,15/08/2025
1192015070,0.0,15/08/2025
1192064996,561.0,15/08/2025
1192064996,29164.0,15/08/2025
1192085197,8109.32,15/08/2025
1192162999,174.0,15/08/2025
1192162999,34971.0,15/08/2025
1192314587,2320.67,15/08/2025
1192347001,24109.0,15/08/2025
1192395772,238002.34,15/08/2025
1192483779,13059.94,15/08/2025
1192541851,6249.68,15/08/2025
1192664355,17284.0,15/08/2025
1192680057,4997.33,15/08/2025
1192791874,100122.0,15/08/2025
1192923281,16634.0,15/08/2025
1193019733,0.0,15/08/2025
1193193092,0.0,15/08/2025
1193193487,21960.0,15/08/2025
1193195002,19560.3,15/08/2025
1193195306,19497.0,15/08/2025
1193296045,47983.0,15/08/2025
1193348315,8571.05,15/08/2025
1193363536,12566.95,15/08/2025
1193598556,2549.0,15/08/2025
1193598556,3620.17,15/08/2025
1193600540,0.0,15/08/2025
1193600540,709.0,15/08/2025
1193632861,330146.0,15/08/2025
1193708631,22998.79,15/08/2025
1193708997,16779.8,15/08/2025
1193724314,16320.0,15/08/2025
1193795953,9937.55,15/08/2025
1193810465,8103.3,15/08/2025
1193845537,0.0,15/08/2025
1193891975,77835.0,15/08/2025
1193929857,12278.03,15/08/2025
1194024859,3104.97,15/08/2025
1194309014,9230.63,15/08/2025
1194472891,22443.68,15/08/2025
1194485348,541.27,15/08/2025
1194510705,105901.0,15/08/2025
1194586527,37475.0,15/08/2025
1194657060,503.0,15/08/2025
1194657060,119.33,15/08/2025
1194657912,0.0,15/08/2025
1194666627,28697.0,15/08/2025
1194666627,439.0,15/08/2025
1194694091,31918.0,15/08/2025
1194919753,62500.0,15/08/2025
1194939641,52195.57,15/08/2025
1194941245,23670.0,15/08/2025
1195080265,17274.0,15/08/2025
1195155437,2378.6,15/08/2025
1195233548,0.0,15/08/2025
1195271759,12774.16,15/08/2025
1195290788,24512.86,15/08/2025
1195339518,0.0,15/08/2025
1195366092,6648.0,15/08/2025
1195385932,12439.53,15/08/2025
1195433206,9378.11,15/08/2025
1195436964,135.0,15/08/2025
1195436964,9110.62,15/08/2025
1195444629,16102.02,15/08/2025
1195700590,25930.0,15/08/2025
1195744613,49410.68,15/08/2025
1195748019,0.0,15/08/2025
1195781551,0.0,15/08/2025
